"Year - Month","Event","DataCards","Deaths","Injured","Missing","Houses Destroyed","Houses Damaged","Directly affected","Indirectly Affected","Relocated","Evacuated"
"2003/10","FLOOD",10,0,0,0,11,9,94,0,0,0
"2003/11","FIRE",1,0,0,0,1,0,3,0,0,0
"2004/01","FIRE",1,0,0,0,2,0,0,0,0,0
"2004/02","DROUGHT",1,0,0,0,0,0,1579,0,0,0
"2004/02","FIRE",3,0,0,0,26,0,318,0,0,0
"2004/02","STORM",1,0,0,0,0,0,32,0,0,0
"2004/03","STORM",1,0,0,0,16,0,76,0,0,0
"2004/04","LIGHTNING",2,1,0,0,0,1,0,0,0,0
"2004/04","STORM",10,0,18,0,138,38,795,0,0,0
"2004/05","STORM",3,0,7,0,20,35,268,0,0,0
"2004/06","DROUGHT",19,0,0,0,0,0,301622,0,0,0
"2004/06","STORM",3,0,0,0,5,0,25,0,0,0
"2004/07","DROUGHT",359,0,0,0,0,0,0,0,0,0
"2004/07","FLOOD",3,0,0,0,0,0,0,0,0,0
"2004/07","STORM",1,0,0,0,17,0,81,0,0,0
"2004/08","DROUGHT",77,0,0,0,0,0,133552,0,0,0
"2004/08","LIGHTNING",1,0,0,0,0,0,0,0,0,0
"2004/08","STORM",1,0,0,0,17,0,81,0,0,0
"2004/09","DROUGHT",8,0,0,0,0,0,13425,0,0,0
"2004/09","FIRE",1,0,0,0,4,0,19,0,0,0
"2004/09","FLOOD",37,2,3,0,0,0,8430,0,0,1648
"2004/09","STORM",2,0,0,0,29,49,355,0,0,0
"2004/10","DROUGHT",2,0,0,0,0,0,0,0,0,0
"2004/10","FLOOD",5,0,0,0,0,0,0,0,0,0
"2004/11","DROUGHT",31,0,0,0,0,0,0,0,0,0
"2004/12","DROUGHT",35,0,0,0,0,0,5149,0,0,0
"2004/12","FLOOD",1,0,0,0,0,0,0,0,0,0
"2005/01","DROUGHT",4,0,0,0,0,0,7906,0,0,0
"2005/01","EPIDEMIC",1,1,0,0,0,0,0,0,0,0
"2005/01","FIRE",7,0,0,0,6,0,133,0,0,0
"2005/01","STORM",1,0,0,0,0,0,78,0,0,0
"2005/02","FIRE",3,0,0,0,0,0,2056,0,0,0
"2005/02","STORM",1,0,0,0,0,0,31,0,0,0
"2005/03","EPIDEMIC",2,2,0,0,0,0,0,0,0,0
"2005/03","FIRE",5,0,0,0,5,0,64,0,0,0
"2005/03","STORM",1,0,0,0,3,0,0,0,0,0
"2005/04","EPIDEMIC",1,1,0,0,0,0,0,0,0,0
"2005/04","FIRE",8,0,0,0,5,0,581,0,0,0
"2005/04","STORM",3,0,0,0,15,0,52,0,0,0
"2005/05","DROUGHT",1,0,0,0,0,0,2954,0,0,0
"2005/05","FIRE",5,0,0,0,21,0,92,0,0,0
"2005/05","LIGHTNING",3,4,0,0,0,0,0,0,0,0
"2005/05","STORM",15,0,3,0,248,1,394,0,0,0
"2005/06","DROUGHT",6,0,0,0,0,0,34301,0,0,0
"2005/06","FIRE",12,0,0,0,290,0,0,0,0,0
"2005/06","LIGHTNING",1,7,0,0,0,0,0,0,0,0
"2005/06","RIVER BANK COLLAPSE",1,0,0,0,0,0,126,0,0,0
"2005/06","STORM",2,0,0,0,0,0,18,0,0,0
"2005/07","DROUGHT",14,0,0,0,0,0,681785,0,0,0
"2005/07","FIRE",9,0,0,0,10,0,82,0,0,0
"2005/07","FLOOD",1,0,0,0,0,0,0,0,0,0
"2005/08","DROUGHT",1,0,0,0,0,0,0,0,0,0
"2005/08","FIRE",4,0,0,0,4,0,0,0,0,0
"2005/08","FLOOD",9,0,0,0,2,504,64945,0,0,0
"2005/08","PEST OUTBREAK",2,0,0,0,0,0,0,0,0,0
"2005/08","RIVER BANK COLLAPSE",1,0,0,0,0,0,64,0,0,0
"2005/09","DROUGHT",8,0,0,0,0,0,9125,0,0,0
"2005/09","FLOOD",38,9,0,0,1,443,6643,0,0,3868
"2005/09","PEST OUTBREAK",6,0,0,0,0,0,0,0,0,0
