Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
May-71,FLOOD,3,1,0,0,0,54,0,0,0,0
Jul-71,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Jul-71,FLOOD,1,3,0,0,0,260,0,0,0,0
Aug-71,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Aug-71,FLOOD,8,3,0,0,0,690,0,0,0,0
Sep-71,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Oct-71,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Nov-71,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Dec-71,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Dec-71,FLOOD,1,0,0,0,0,0,0,0,0,0
Jan-72,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Feb-72,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Feb-72,FLOOD,1,0,0,0,0,0,0,0,0,0
Mar-72,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
Mar-72,FLOOD,5,0,0,0,0,230,0,0,0,0
Apr-72,EARTHQUAKE,1,5057,1710,0,0,3500,0,22126,0,0
Apr-72,FLOOD,7,0,0,0,0,380,0,0,0,0
May-72,FLOOD,8,6,0,0,0,323,0,0,0,0
Jun-72,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Jun-72,FLOOD,6,0,0,0,0,902,0,0,0,0
Jul-72,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
Aug-72,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Aug-72,FLOOD,1,6,0,0,0,0,0,0,0,0
Sep-72,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Oct-72,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Nov-72,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Nov-72,FLOOD,2,5,2,0,0,0,0,0,0,0
Dec-72,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Feb-73,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Mar-73,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Mar-73,FLOOD,1,4,0,0,0,1200,0,0,0,0
Apr-73,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
Apr-73,FLOOD,1,0,0,0,0,0,0,0,0,0
May-73,FLOOD,1,0,0,0,0,30,0,0,0,0
Jun-73,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Jul-73,FLOOD,7,13,94,0,0,4400,0,0,0,0
Aug-73,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Nov-73,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
Jan-74,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Feb-74,FLOOD,1,0,0,0,0,5,0,0,0,0
Mar-74,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Mar-74,FLOOD,26,9,1,0,0,3976,0,0,0,0
Apr-74,FLOOD,4,0,0,0,0,72,0,0,0,0
May-74,FLOOD,1,0,0,0,0,0,0,0,0,0
Jun-74,FLOOD,1,0,0,0,0,27,0,0,0,0
Jul-74,FLOOD,13,11,0,0,0,343,0,0,0,0
Aug-74,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Aug-74,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-74,FLOOD,1,0,0,0,0,120,0,0,0,0
Nov-74,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Dec-74,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Dec-74,FLOOD,1,0,0,0,0,25,0,0,0,0
Jan-75,FLOOD,3,1,0,0,0,264,0,0,0,0
Feb-75,FLOOD,2,0,0,0,0,16,0,0,0,0
Mar-75,EARTHQUAKE,3,6014,200,0,715,0,0,0,2000,0
Mar-75,FLOOD,1,0,0,0,0,0,0,0,0,0
Apr-75,FLOOD,8,25,0,0,0,1210,0,0,0,0
Apr-75,STORM,1,14,0,0,0,0,0,0,0,0
May-75,FLOOD,10,7,0,0,0,724,0,0,0,0
Jun-75,FLOOD,2,0,0,0,0,0,0,0,0,0
Aug-75,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-75,FLOOD,2,0,0,0,0,50,0,0,0,0
Oct-75,FLOOD,4,5,0,0,0,46,0,0,0,0
Nov-75,FLOOD,3,0,0,0,0,100,0,0,0,0
Dec-75,FLOOD,5,7,0,0,0,0,0,0,0,0
Jan-76,FLOOD,2,2,0,0,0,460,0,0,0,0
Feb-76,FLOOD,7,1,0,0,0,20,0,0,0,0
Mar-76,FLOOD,3,37,0,0,0,0,0,0,0,0
Apr-76,EARTHQUAKE,1,0,15,0,0,0,0,0,0,0
Apr-76,FLOOD,37,135,4,0,0,4022,0,0,0,0
May-76,FLOOD,25,53,0,0,0,943,0,0,0,0
Jun-76,FLOOD,4,7,0,0,0,73,0,0,0,0
Jul-76,FLOOD,8,49,0,0,0,1863,0,0,0,0
Aug-76,FLOOD,3,0,0,0,0,0,0,0,0,0
Oct-76,FLOOD,4,1,0,0,0,1729,0,0,0,0
Nov-76,EARTHQUAKE,4,53,260,0,489,0,0,0,0,0
Nov-76,FLOOD,3,0,0,0,0,105,0,0,0,0
Dec-76,FLOOD,5,1,0,0,0,260,0,0,0,0
Mar-77,EARTHQUAKE,1,128,84,0,0,0,0,20126,0,0
Mar-77,FLOOD,3,16,0,0,0,710,0,0,0,0
Apr-77,EARTHQUAKE,1,348,200,0,2100,0,0,400000,0,0
Apr-77,FLOOD,6,2,0,0,0,555,0,0,0,0
May-77,FLOOD,12,33,10,0,0,700,0,0,0,0
Jun-77,FLOOD,3,4,0,0,0,0,0,0,0,0
Jul-77,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-77,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-77,FLOOD,1,0,0,0,0,0,0,0,0,0
Oct-77,FLOOD,1,0,0,0,0,0,0,0,0,0
Nov-77,FLOOD,5,16,0,0,0,520,0,0,0,0
Dec-77,EARTHQUAKE,2,663,500,0,0,0,0,515,0,0
Dec-77,FLOOD,5,0,0,0,0,68,0,0,0,0
Jan-78,FLOOD,12,0,0,0,0,85,0,0,0,0
Feb-78,FLOOD,1,0,0,0,0,0,0,0,0,0
Mar-78,FLOOD,3,0,0,0,0,0,0,0,0,0
Apr-78,FLOOD,2,0,0,0,0,0,0,0,0,0
May-78,FLOOD,2,3,0,0,0,0,0,0,0,0
Jun-78,FLOOD,5,6,0,0,0,8,0,0,0,0
Jul-78,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-78,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-78,EARTHQUAKE,1,25000,0,0,0,0,0,40000,0,0
Dec-78,EARTHQUAKE,1,45,52,0,0,0,0,52,0,0
Jan-79,EARTHQUAKE,5,199,200,0,0,0,0,5200,0,0
Jan-79,FLOOD,3,9,0,0,0,0,0,0,0,0
Apr-79,FLOOD,5,0,0,0,0,15,0,0,0,0
May-79,FLOOD,10,11,0,0,0,260,0,0,0,0
Jun-79,FLOOD,3,50,0,0,0,50,0,0,0,0
Sep-79,FLOOD,1,0,0,0,0,0,0,0,0,0
Oct-79,FLOOD,1,4,0,0,0,0,0,0,0,0
Nov-79,EARTHQUAKE,2,370,423,0,0,0,0,15023,0,0
Dec-79,FLOOD,4,0,0,0,0,80,0,0,0,0
Jan-80,FLOOD,3,0,0,0,0,0,0,0,0,0
Feb-80,FLOOD,7,28,0,0,0,80,0,100,0,0
Mar-80,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Mar-80,FLOOD,10,6,0,0,0,50,0,0,0,0
Apr-80,FLOOD,4,9,0,0,0,0,0,0,0,0
May-80,FLOOD,2,0,0,0,0,0,0,0,0,0
Jun-80,FLOOD,4,10,0,0,0,50,0,0,0,0
Jul-80,EXPLOSION,3,13,40,0,0,0,0,0,0,0
Jul-80,FLOOD,1,0,0,0,0,0,0,0,0,0
Aug-80,FLOOD,1,2,0,0,0,0,0,0,0,0
Sep-80,FLOOD,1,0,0,0,0,0,0,0,0,0
Oct-80,FLOOD,1,0,0,0,0,0,0,0,0,0
Nov-80,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Nov-80,FLOOD,2,0,0,0,0,75,0,0,0,0
Dec-80,EARTHQUAKE,4,41,200,0,0,0,0,200,0,0
Dec-80,EXPLOSION,1,0,5,0,0,0,0,0,0,0
Jan-81,EARTHQUAKE,1,900,0,0,0,0,0,0,0,0
Jan-81,FLOOD,2,0,0,0,0,52,0,0,0,0
Feb-81,EXPLOSION,4,2,16,0,0,0,0,0,0,0
Feb-81,FLOOD,1,0,0,0,0,0,0,0,0,0
Mar-81,ACCIDENT,1,39,118,0,0,0,0,0,0,0
Mar-81,EXPLOSION,1,0,0,0,0,0,0,0,0,0
Mar-81,FLOOD,4,0,0,0,0,31,0,0,0,0
Apr-81,EXPLOSION,5,0,0,0,0,0,0,0,0,0
Apr-81,FLOOD,12,5,9,0,0,777,0,0,0,0
May-81,EARTHQUAKE,2,1027,0,0,0,0,0,0,0,0
May-81,EXPLOSION,6,0,0,0,0,0,0,0,0,0
May-81,FLOOD,18,116,420,0,368,965,0,100,0,0
May-81,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
Jun-81,EARTHQUAKE,2,1100,4000,0,0,0,0,3000,0,0
Jun-81,EXPLOSION,1,0,0,0,0,0,0,0,0,0
Jun-81,FLOOD,3,2,0,0,9,0,0,0,0,0
Jul-81,EARTHQUAKE,2,1308,800,0,0,0,0,30000,0,0
Jul-81,EXPLOSION,4,0,0,0,0,0,0,0,0,0
Jul-81,FLOOD,4,11,5,0,0,100,0,0,0,0
Aug-81,ACCIDENT,1,3,0,0,0,0,0,0,0,0
Aug-81,EARTHQUAKE,3,0,0,0,50,150,0,0,0,0
Aug-81,EXPLOSION,2,0,0,0,0,0,0,0,0,0
Aug-81,FLOOD,2,0,0,0,0,0,0,0,0,0
Sep-81,FLOOD,1,0,0,0,0,0,0,0,0,0
Oct-81,EXPLOSION,5,7,18,0,0,0,0,0,0,0
Oct-81,STORM,1,200,0,0,0,0,0,0,0,0
Dec-81,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Jan-82,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Jan-82,FLOOD,1,0,0,0,0,0,0,0,0,0
Feb-82,EARTHQUAKE,3,0,0,0,200,0,0,0,0,0
Feb-82,FLOOD,9,13,0,0,0,198,0,0,0,5
Mar-82,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Mar-82,FLOOD,13,10,6,0,0,737,0,0,0,0
Apr-82,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Apr-82,EXPLOSION,1,0,0,0,0,0,0,0,0,0
Apr-82,FLOOD,23,2,0,0,0,4,0,0,0,0
May-82,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
May-82,FLOOD,16,13,0,0,0,322,0,0,0,0
Jun-82,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Jun-82,FLOOD,1,0,0,0,0,0,0,0,0,0
Jul-82,EARTHQUAKE,4,0,0,0,0,10,0,0,0,0
Jul-82,FLOOD,3,0,0,0,0,0,0,0,0,0
Aug-82,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Aug-82,EXPLOSION,3,0,5,0,0,0,0,0,0,0
Aug-82,FLOOD,1,0,0,0,0,0,0,0,0,0
Sep-82,FLOOD,5,0,0,0,0,26,0,0,0,0
Oct-82,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Oct-82,FLOOD,30,30,19,0,0,2642,0,0,0,0
Nov-82,FLOOD,11,3,0,0,0,314,0,0,0,0
Dec-82,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Dec-82,FLOOD,2,0,0,0,0,0,0,0,0,0
Jan-83,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Jan-83,FLOOD,1,0,0,0,0,7,0,0,0,0
Feb-83,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Mar-83,EARTHQUAKE,3,30,61,0,0,0,0,7005,0,0
Mar-83,FLOOD,5,21,15,0,0,357,0,0,0,0
Mar-83,LANDSLIDE,1,11,24,11,0,0,0,0,0,0
Apr-83,EARTHQUAKE,5,0,0,0,0,0,0,0,0,0
Apr-83,FLOOD,23,6,7,0,19,32141,0,0,0,0
May-83,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
May-83,FLOOD,30,101,68,0,10,1439,0,0,0,0
Jun-83,FLOOD,6,0,0,0,0,0,0,0,0,0
Jul-83,EARTHQUAKE,6,3,31,0,75,90,0,416,0,0
Jul-83,FLOOD,3,0,0,0,0,25,0,0,0,0
Aug-83,FLOOD,7,3,0,0,0,130,0,0,0,0
Oct-83,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Oct-83,FLOOD,1,0,0,0,0,10,0,0,0,0
Dec-83,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Jan-84,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
Feb-84,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Mar-84,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
Mar-84,FLOOD,26,140,5,0,0,420,0,0,0,0
Apr-84,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
Apr-84,FLOOD,8,1,2,0,0,256,0,0,0,0
May-84,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
May-84,FLOOD,9,0,0,0,0,120,0,0,0,0
Jun-84,FIRE,1,0,5,0,0,0,0,0,0,0
Jun-84,FLOOD,3,0,0,0,0,0,0,0,0,0
Aug-84,EARTHQUAKE,3,0,0,0,0,100,0,0,0,0
Aug-84,FLOOD,2,0,0,0,0,20,0,0,0,0
Sep-84,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
Sep-84,FLOOD,3,0,0,0,0,201,0,0,0,0
Oct-84,EARTHQUAKE,7,0,0,0,0,0,0,0,0,0
