Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
Aug-99,STORM,13,0,0,0,0,579,3040,0,0,0
Sep-99,URBAN FIRE,2,0,0,0,28,0,114,0,0,0
Oct-99,FLOOD,2,0,0,0,0,486,2402,0,0,0
Oct-99,RIVER FLOOD,2,0,0,0,952,0,3624,0,0,0
Dec-99,FIRE,1,0,0,0,0,8,46,0,0,0
Jan-00,FIRE,1,0,0,0,8,0,0,0,0,0
Feb-00,FIRE,3,0,0,0,105,0,0,0,0,0
Mar-00,FIRE,3,0,0,0,255,0,1386,0,0,0
Mar-00,INDUSTRIAL FIRE,2,0,0,0,12,0,0,0,0,0
Apr-00,FIRE,2,0,0,0,329,0,0,0,0,0
Jul-00,FIRE,2,0,0,0,2,0,0,0,0,0
Jul-00,STORM,4,0,0,0,0,96,450,0,0,0
Aug-00,FIRE,1,0,0,0,144,0,0,0,0,0
Aug-00,STORM,2,0,0,0,0,52,204,0,0,0
Dec-00,FIRE,1,0,0,0,0,5,24,0,0,0
Jan-01,FIRE,1,0,0,0,0,0,0,0,0,0
Feb-01,FIRE,4,0,0,0,0,7,22,0,0,0
Mar-01,FIRE,1,0,0,0,0,1,6,0,0,0
Mar-01,URBAN FIRE,2,0,0,0,0,0,0,0,0,0
Apr-01,FIRE,12,1,0,0,706,512,7791,0,0,0
May-01,FIRE,3,1,0,0,24,9,99,0,0,0
Jun-01,FLOOD,6,0,0,0,0,1224,3040,0,0,0
Aug-01,FLOOD,2,0,0,0,0,912,5534,0,0,0
Oct-01,FIRE,1,0,0,0,0,9,0,0,0,0
Dec-01,FIRE,4,1,2,0,1631,0,14253,0,0,0
2002/00,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
Jan-02,FIRE,5,0,0,0,326,6,1985,0,0,0
Feb-02,FIRE,5,0,0,0,889,17,4892,0,0,0
Mar-02,FIRE,12,0,0,0,949,52,3417,0,0,0
Apr-02,FIRE,5,0,0,0,0,32,133,0,0,0
May-02,FIRE,3,0,0,0,31,69,291,0,0,0
May-02,FLOOD,2,0,0,0,0,796,4940,0,0,0
Jun-02,FIRE,1,0,0,0,0,3,12,0,0,0
Aug-02,FLOOD,4,0,0,0,0,1658,9372,0,0,0
Sep-02,FLOOD,3,0,0,0,0,312,1604,0,0,0
Sep-02,LANDSLIDE,1,0,0,0,0,2,9,0,0,0
Oct-02,FIRE,1,0,0,0,0,2,10,0,0,0
Nov-02,URBAN FIRE,2,0,0,0,0,0,0,0,0,0
Dec-02,FIRE,6,0,0,0,18,6,172,0,0,0
2003/00,FLOOD,2,0,0,0,0,0,0,0,0,0
Feb-03,FIRE,3,0,0,0,108,6,470,0,0,0
Mar-03,FIRE,2,0,0,0,230,0,641,0,0,0
Apr-03,FIRE,2,0,0,0,0,84,42,0,0,0
May-03,CYCLONE,2,0,0,0,178,0,706,0,0,0
May-03,FIRE,1,0,0,0,0,58,204,0,0,0
May-03,RIVER FLOOD,2,0,0,0,178,0,706,0,0,0
May-03,STORM,5,0,0,0,0,266,683,0,0,0
May-03,THUNDER LIGHTING STROKE,1,0,0,0,0,0,0,0,0,0
Jun-03,FIRE,4,0,0,0,0,73,262,0,0,0
Oct-03,FIRE,1,11,0,0,24,0,104,0,0,0
Nov-03,FIRE,2,0,0,0,0,248,1294,0,0,0
2004/00,FLOOD,2,0,0,0,0,0,0,0,0,0
Jan-04,FIRE,8,20,14,0,378,47,1394,0,0,0
Jan-04,STORM,3,0,0,0,0,57,355,0,0,0
Feb-04,FIRE,14,1,0,0,207,66,1337,0,0,0
Mar-04,FIRE,15,0,0,0,562,43,2596,0,0,0
Apr-04,FIRE,5,0,0,0,16,159,828,0,0,0
May-04,FIRE,3,0,0,0,51,0,285,0,0,0
May-04,STORM,2,0,0,0,0,40,68,0,0,0
Jun-04,CYCLONE,2,0,0,0,60,0,288,0,0,0
Jul-04,FIRE,1,0,0,0,0,24,83,0,0,0
Jul-04,FLOOD,2,0,0,0,0,100,464,0,0,0
Jul-04,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
Aug-04,CYCLONE,2,0,0,0,26,0,156,0,0,0
Aug-04,FIRE,1,1,19,0,0,0,0,0,0,0
Aug-04,FLOOD,2,0,0,0,0,0,0,0,0,0
