Year - Month,Event, DataCards, Deaths, Injured, Missing, Houses Destroyed, Houses Damaged, Directly affected, Indirectly Affected, Relocated, Evacuated
1994/12,BIOLOGICAL,1,9,,,,,,7118,,
1995/00,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/00,DROUGHT,4,1,,,,,,40506,,
1995/00,EPIDEMIC,1,4,,,,,,156,,
1995/00,PLAGUE,6,,,,,,,,,
1995/01,FLASH FLOOD,3,,,,,,,4180,,
1995/01,FLOOD,1,,,,,,,22000,,
1995/02,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/03,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1995/04,CONFLICT MAN WILD FAUNA,1,3,,,,,,17,,
1995/04,DROUGHT,1,,,,,,,5737,,
1995/04,PLAGUE,1,1,,,,,,,,
1995/08,EPIDEMIC,1,,,,,,,,,
1995/08,FOREST FIRE,3,,,,,,,,,
1995/09,DROUGHT,1,1,,,,,,,,
1995/10,CONFLICT MAN WILD FAUNA,2,,,,,,,3618,,
1995/10,DROUGHT,1,,,,,,,3838,,
1995/10,FIRE,1,,,,338,,,2055,,
1995/10,FOREST FIRE,1,,,,,,,,,
1995/10,STRONG WIND,1,,,,,,,,,
1995/11,DROUGHT,1,,,,,,,31000,,
1995/11,STORM,1,2,3,,21,,,,,
1995/12,CONFLICT MAN WILD FAUNA,1,1,,,,,3,,,
1996/00,DROUGHT,1,,,,,,,,,
1996/00,EPIDEMIC,2,337,,,,,4274,269,,
1996/00,FLASH FLOOD,2,,,,,,,,,
1996/00,FLOOD,5,,,,,,,17586,,
1996/00,PLAGUE,1,,,,,,96,96,,
1996/00,RAINS,1,,,,328,,,,,
1996/00,STRONG WIND,1,,,,476,,,,,
1996/01,CYCLONE,11,6,10,,1640,117,,98727,,
1996/01,DROUGHT,1,,,,,,,8737,,
1996/01,FLASH FLOOD,2,,,,,,,1500,,
1996/01,FLOOD,8,5,,,892,,,55193,,
1996/02,FLASH FLOOD,1,,,,,,,,,
1996/02,FLOOD,4,11,,,,21700,5,144255,,
1996/02,PLAGUE,2,,,,292,62,,255,,
1996/02,RAINS,5,1,4,,,,,54240,,
1996/03,EPIDEMIC,1,,,,,,,3859,,
1996/03,FLOOD,1,,,,,,,,,
1996/03,PLAGUE,1,,,,,,,,,
1996/04,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1996/04,DROUGHT,1,,,,,,,24602,,
1996/04,FLASH FLOOD,2,,,,,,,,,
1996/04,PLAGUE,3,,,,,,,,,
1996/06,DROUGHT,1,,,,,,,18,,
1996/10,CYCLONE,1,,,,50,,,,,
1996/10,PLAGUE,1,,,,,,,28899,,
1996/12,CONFLICT MAN WILD FAUNA,1,1,,,,,,,,
1996/12,PLAGUE,1,,,,,,,,,
1996/12,RAINS,1,,,,,,,,,
1996/12,STRONG WIND,1,,,,,,,,,
1997/00,CONFLICT MAN WILD FAUNA,3,2,3,,,,,,,
1997/00,DROUGHT,17,,,,,,,43035,,
1997/00,EPIDEMIC,3,79,,,,,1041,,,
1997/00,FLASH FLOOD,5,35,,,391,,,100454,,60743
1997/00,FLOOD,6,4,,,2317,,,57203,,
1997/00,FOREST FIRE,2,,,,,,,,,
1997/00,PLAGUE,8,18,,,,,790,,,
1997/00,STRONG WIND,1,,,,,,,,,
1997/01,FLASH FLOOD,5,,,,,,,9760,,
1997/01,FLOOD,18,31,,,16977,,8290,724654,11651,21871
1997/01,PLAGUE,2,,,,,,,,,
1997/01,RAINS,1,,,,,,,,,
1997/01,TROP. DEPRESS.,3,,,,4311,,,34030,,
1997/02,DROUGHT,1,,,,,,,,,
1997/02,FLASH FLOOD,1,1,,,,,,3975,,
1997/02,FLOOD,19,34,,,18477,514,8,284929,1000,5000
1997/02,PLAGUE,1,,,,,,,,,
1997/02,STORM,2,,,,14,,,,,
1997/03,CYCLONE,7,17,21,,18115,,,74000,,
1997/03,DROUGHT,4,,,,,,,10898,,
1997/03,FLASH FLOOD,1,6,,3,251,,,30300,,
1997/03,FLOOD,6,9,,,1255,156,,187602,482,
1997/03,PLAGUE,2,,,,,,,,,
1997/03,STORM,1,,,,,,,,,
1997/04,DROUGHT,1,,,,,,,,,
1997/04,FLASH FLOOD,1,,,,,,,,,
1997/04,FLOOD,1,,,,,,,12912,,
1997/04,STORM,1,,,,,,,,,
1997/05,FLOOD,1,,,,6,52,,5148,,
1997/06,PLAGUE,1,,,,,,,,,
1997/10,EPIDEMIC,1,5,,,,,95,,,
1997/10,FOREST FIRE,1,,,,,,,,,
1997/11,DROUGHT,1,,,,,,,44698,,
1997/11,FIRE,1,,,,,4,,,,
1997/11,STORM,3,3,,,283,503,,3249,,
1997/12,DROUGHT,1,,,,,,,6000,,
1997/12,FLOOD,1,,,,,,,,,
1997/12,LIGHTNING,1,,2,,,,3,,,
1997/12,STORM,1,,,,,,,,,
1998/00,CONFLICT MAN WILD FAUNA,8,4,,,,,,,,
1998/00,DROUGHT,4,,,,,,,74507,,
1998/00,EPIDEMIC,7,390,,,,,62,17958,,
1998/00,FLASH FLOOD,5,,,,,,10000,,,
1998/00,FLOOD,6,2,,,3500,,,27400,,
1998/00,FOREST FIRE,1,,,,,,,,,
1998/00,HEAT WAVE,1,,,,,,,,,
1998/00,PLAGUE,22,,,,,,,,,
1998/00,RAINS,2,,,,466,,,,,
1998/00,TROP. DEPRESS.,2,3,1,,1369,,,,,
1998/01,EPIDEMIC,1,1,,,,,,3083,,
1998/01,FLASH FLOOD,14,,,,922,466,,54612,30,
1998/01,FLOOD,15,,,,450,,,2747,,
1998/01,LIGHTNING,1,,2,,,,2,,,
1998/01,PLAGUE,2,,,,,,,5550,,
1998/01,RAINS,2,72,18,97,,,,4162,,
1998/01,STORM,1,,,1,140,30,,2130,,
1998/01,TROP. DEPRESS.,3,7,,,1802,,80,11471,,
1998/02,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1998/02,EPIDEMIC,1,109,,,,,,,,
1998/02,FLASH FLOOD,2,,,,3500,,,,,
1998/02,FLOOD,3,4,,,559,,3850,10008,,
1998/02,RAINS,1,,,,,,,,,
1998/03,DROUGHT,1,,,,,,,,,
1998/03,FLASH FLOOD,1,,,,,,,2100,,
1998/03,PLAGUE,1,,,,,,,,,
1998/04,DROUGHT,1,,,,,,,,,
1998/04,LANDSLIDE,1,69,8,72,204,,4000,7500,,
1998/05,FLASH FLOOD,1,,,,,,,3492,,
1998/05,FLOOD,1,,,,,,,,,
1998/06,FLASH FLOOD,1,,,,,,,,,
1998/06,OTHER,1,,,,,,,,,
1998/06,PLAGUE,2,,,,,,,,,
1998/08,CONFLICT MAN WILD FAUNA,3,,,,,,,,,
1998/08,FIRE,1,,,,14,,,115,,
1998/08,FOREST FIRE,1,,,,,,,,,
1998/08,PLAGUE,2,,,,,,,,,
1998/09,DROUGHT,1,,,,,,,43960,,9604
1998/09,FOREST FIRE,1,,,,,,,,,
1998/10,CONFLICT MAN WILD FAUNA,3,,,,,,,,,
1998/11,FLASH FLOOD,1,,,,,,,14000,,
1998/12,FLOOD,1,,,,,,3149,,,
1998/12,PLAGUE,1,,,,,,,,,
1999/00,CONFLICT MAN WILD FAUNA,5,53,,,,,,,,
1999/00,DROUGHT,21,,,,,,,164449,,
1999/00,EPIDEMIC,5,76,,,,,,9182,,
1999/00,FLASH FLOOD,14,,,,,,,54450,,
1999/00,FLOOD,20,,,,14,,169660,41750,,
1999/00,PLAGUE,4,,,,,,,,,
1999/00,RAINS,1,,,,,,,,,
1999/01,ALLUVION,7,5,,,25,,1525,3710,,2228
1999/01,EPIDEMIC,10,25,,,,,,20658,,
1999/01,FLASH FLOOD,6,,,,,,1136,2202,,
1999/01,FLOOD,15,8,,,200,1,74985,34430,,825
1999/02,ALLUVION,1,,,,,18,,,,
1999/02,EPIDEMIC,1,,,,,,,11,,
1999/02,FLASH FLOOD,2,11,,,28,1199,1017,18011,,2095
1999/02,FLOOD,6,4,,,305,,4305,11920,,190
1999/03,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1999/03,FLASH FLOOD,1,,,,,,,1315,,
1999/03,PLAGUE,1,,,,,,,,,
1999/03,RAINS,1,,,,,,,,,
1999/04,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
1999/04,PLAGUE,1,,,,,,,,,
1999/04,RAINS,1,,,,37,,,,,
1999/05,PLAGUE,1,,,,,,,,,
1999/11,FIRE,1,,,,300,,,,,
2000/00,ACCIDENT,1,2,,6,,,,,,
2000/00,ALLUVION,1,,,,,,,,,
2000/00,CONFLICT MAN WILD FAUNA,5,1,3,,,,,,,
2000/00,DROUGHT,20,,,,,,,103666,,
2000/00,EPIDEMIC,13,140,,,,,,112919,,
2000/00,FIRE,2,,,,500,,,1000,,
2000/00,FLASH FLOOD,6,,,,,,,,,
2000/00,FLOOD,12,,,,,,,12437,2542,
2000/00,FOREST FIRE,1,,,,,,,,,
2000/00,HEAT WAVE,1,,,,,,,,,
2000/00,PLAGUE,13,,,,,,,,,
2000/00,RAINS,1,,,,,,,,,
2000/00,STORM,1,1,7,,1575,,,,,
2000/00,STRONG WIND,2,6,5,,2,,,850,,
2000/01,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
2000/01,EPIDEMIC,1,102,,,,,,630,,
2000/01,FLASH FLOOD,1,1,,,455,190,,10089,,
2000/01,FLOOD,4,12,,,1693,,1783,111851,,180
2000/01,RAINS,2,,,,41,20,,,,
2000/01,STRONG WIND,1,,,,23,,,,,
2000/02,CYCLONE,16,57,,1,18455,919,7135,26101,,3010
2000/02,DROUGHT,1,,,,,,,7109,,
2000/02,EARTHQUAKE,1,,,,,,,,,
2000/02,EPIDEMIC,3,,,,,,,6800,,
2000/02,FLASH FLOOD,6,3,,,120,,,18041,,
2000/02,FLOOD,35,332,,,7285,679,406,930692,314388,66965
2000/02,PLAGUE,1,,,,,,,,,
2000/02,STORM,1,,,,,,,,,
2000/02,STRONG WIND,1,,,,,,,,,
2000/03,CONFLICT MAN WILD FAUNA,1,3,1,,,,,39,,
2000/03,CYCLONE,1,,,,,,,1913,,
2000/03,FLOOD,27,374,,95,37798,63820,11914,1831973,138365,216647
2000/04,CYCLONE,4,4,22,,5463,,,25624,,
2000/04,EPIDEMIC,1,,,,,,,113,,
2000/04,FLOOD,2,,,,,,,,,
2000/04,FOREST FIRE,1,,,,106,,,575,,
2000/04,PLAGUE,1,,,,,,,,,
2000/04,RAINS,2,,,,,,,435,,
2000/04,STORM,1,,,,,,3,3,,
2000/05,CONFLICT MAN WILD FAUNA,1,1,,,,,,,,
2000/05,FOREST FIRE,1,,,,,,,,,
2000/06,FLASH FLOOD,1,,,,,,,7065,,
2000/06,PLAGUE,1,,,,,,,,,
2000/07,FLOOD,7,,,,4,63,,17484,,
2000/08,EPIDEMIC,1,2,,,,,,13,,
2000/09,DROUGHT,2,,,,,,,,,
2000/09,FIRE,2,,,,2,,,,,
2000/09,FOREST FIRE,2,,,,13,,,,,
2000/09,RAINS,1,,,,,,,,,
2000/10,DROUGHT,6,,,,,,,16027,,
2000/10,EPIDEMIC,3,17,,,,,,1000,,
2000/10,FIRE,1,,,,1,,,,,
2000/10,FLOOD,9,65,,,943,,,87727,44765,
2000/10,FOREST FIRE,1,3,,11,15,,,,,
2000/10,PLAGUE,1,,,,,,,,,
2000/10,RAINS,3,,,,128,,,,,
2000/11,CONFLICT MAN WILD FAUNA,1,,,,,,,,,
2000/11,FLASH FLOOD,2,1,,,1363,,,2500,,
2000/11,STORM,2,2,3,,1775,,,500,,
2000/11,STRONG WIND,1,6,5,,,,,850,,
2000/12,PLAGUE,1,,,,,,,,,
2000/12,RAINS,1,,,,,,,9450,,
2001/00,ACCIDENT,1,1,,,,,,,,
2001/00,CONFLICT MAN WILD FAUNA,12,8,11,,,,,,,
2001/00,DROUGHT,38,247,,,,,,85640,,
