Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1971/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/4/1,EARTHQUAKE,3,4000,0,0,0,0,0,0,0,0
1971/4/1,FLOOD,3,0,0,0,0,150,0,0,0,0
1971/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/5/1,FLOOD,3,1,0,0,0,54,0,0,0,0
1971/7/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/7/1,FLOOD,1,3,0,0,0,260,0,0,0,0
1971/8/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/8/1,FLOOD,8,3,0,0,0,690,0,0,0,0
1971/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1971/11/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/12/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1971/12/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1972/1/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1972/2/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1972/3/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1972/3/1,FLOOD,5,0,0,0,0,230,0,0,0,0
1972/4/1,EARTHQUAKE,1,5057,1710,0,0,3500,0,22126,0,0
1972/4/1,FLOOD,7,0,0,0,0,380,0,0,0,0
1972/5/1,FLOOD,8,6,0,0,0,323,0,0,0,0
1972/6/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1972/6/1,FLOOD,6,0,0,0,0,902,0,0,0,0
1972/7/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1972/8/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1972/8/1,FLOOD,1,6,0,0,0,0,0,0,0,0
1972/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1972/11/1,FLOOD,2,5,2,0,0,0,0,0,0,0
1972/12/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/2/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1973/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/3/1,FLOOD,1,4,0,0,0,1200,0,0,0,0
1973/4/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1973/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1973/5/1,FLOOD,1,0,0,0,0,30,0,0,0,0
1973/6/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1973/7/1,FLOOD,7,13,94,0,0,4400,0,0,0,0
1973/8/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1973/11/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1974/1/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/2/1,FLOOD,1,0,0,0,0,5,0,0,0,0
1974/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/3/1,FLOOD,26,9,1,0,0,3976,0,0,0,0
1974/4/1,FLOOD,4,0,0,0,0,72,0,0,0,0
1974/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1974/6/1,FLOOD,1,0,0,0,0,27,0,0,0,0
1974/7/1,FLOOD,13,11,0,0,0,343,0,0,0,0
1974/8/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1974/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1974/9/1,FLOOD,1,0,0,0,0,120,0,0,0,0
1974/11/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1974/12/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1974/12/1,FLOOD,1,0,0,0,0,25,0,0,0,0
1975/1/1,FLOOD,3,1,0,0,0,264,0,0,0,0
1975/2/1,FLOOD,2,0,0,0,0,16,0,0,0,0
1975/3/1,EARTHQUAKE,3,6014,200,0,715,0,0,0,2000,0
1975/3/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1975/4/1,FLOOD,8,25,0,0,0,1210,0,0,0,0
1975/4/1,STORM,1,14,0,0,0,0,0,0,0,0
1975/5/1,FLOOD,10,7,0,0,0,724,0,0,0,0
1975/6/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1975/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1975/9/1,FLOOD,2,0,0,0,0,50,0,0,0,0
1975/10/1,FLOOD,4,5,0,0,0,46,0,0,0,0
1975/11/1,FLOOD,3,0,0,0,0,100,0,0,0,0
1975/12/1,FLOOD,5,7,0,0,0,0,0,0,0,0
1976/1/1,FLOOD,2,2,0,0,0,460,0,0,0,0
1976/2/1,FLOOD,7,1,0,0,0,20,0,0,0,0
1976/3/1,FLOOD,3,37,0,0,0,0,0,0,0,0
1976/4/1,EARTHQUAKE,1,0,15,0,0,0,0,0,0,0
1976/4/1,FLOOD,37,135,4,0,0,4022,0,0,0,0
1976/5/1,FLOOD,25,53,0,0,0,943,0,0,0,0
1976/6/1,FLOOD,4,7,0,0,0,73,0,0,0,0
1976/7/1,FLOOD,8,49,0,0,0,1863,0,0,0,0
1976/8/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1976/10/1,FLOOD,4,1,0,0,0,1729,0,0,0,0
1976/11/1,EARTHQUAKE,4,53,260,0,489,0,0,0,0,0
1976/11/1,FLOOD,3,0,0,0,0,105,0,0,0,0
1976/12/1,FLOOD,5,1,0,0,0,260,0,0,0,0
1977/3/1,EARTHQUAKE,1,128,84,0,0,0,0,20126,0,0
1977/3/1,FLOOD,3,16,0,0,0,710,0,0,0,0
1977/4/1,EARTHQUAKE,1,348,200,0,2100,0,0,400000,0,0
1977/4/1,FLOOD,6,2,0,0,0,555,0,0,0,0
1977/5/1,FLOOD,12,33,10,0,0,700,0,0,0,0
1977/6/1,FLOOD,3,4,0,0,0,0,0,0,0,0
1977/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/10/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1977/11/1,FLOOD,5,16,0,0,0,520,0,0,0,0
1977/12/1,EARTHQUAKE,2,663,500,0,0,0,0,515,0,0
1977/12/1,FLOOD,5,0,0,0,0,68,0,0,0,0
1978/1/1,FLOOD,12,0,0,0,0,85,0,0,0,0
1978/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/3/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1978/4/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1978/5/1,FLOOD,2,3,0,0,0,0,0,0,0,0
1978/6/1,FLOOD,5,6,0,0,0,8,0,0,0,0
1978/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1978/9/1,EARTHQUAKE,1,25000,0,0,0,0,0,40000,0,0
1978/12/1,EARTHQUAKE,1,45,52,0,0,0,0,52,0,0
1979/1/1,EARTHQUAKE,5,199,200,0,0,0,0,5200,0,0
1979/1/1,FLOOD,3,9,0,0,0,0,0,0,0,0
1979/4/1,FLOOD,5,0,0,0,0,15,0,0,0,0
1979/5/1,FLOOD,10,11,0,0,0,260,0,0,0,0
1979/6/1,FLOOD,3,50,0,0,0,50,0,0,0,0
1979/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1979/10/1,FLOOD,1,4,0,0,0,0,0,0,0,0
1979/11/1,EARTHQUAKE,2,370,423,0,0,0,0,15023,0,0
1979/12/1,FLOOD,4,0,0,0,0,80,0,0,0,0
1980/1/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1980/2/1,FLOOD,7,28,0,0,0,80,0,100,0,0
1980/3/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1980/3/1,FLOOD,10,6,0,0,0,50,0,0,0,0
1980/4/1,FLOOD,4,9,0,0,0,0,0,0,0,0
1980/5/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1980/6/1,FLOOD,4,10,0,0,0,50,0,0,0,0
1980/7/1,EXPLOSION,3,13,40,0,0,0,0,0,0,0
1980/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1980/8/1,FLOOD,1,2,0,0,0,0,0,0,0,0
1980/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1980/10/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1980/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1980/11/1,FLOOD,2,0,0,0,0,75,0,0,0,0
1980/12/1,EARTHQUAKE,4,41,200,0,0,0,0,200,0,0
1980/12/1,EXPLOSION,1,0,5,0,0,0,0,0,0,0
1981/1/1,EARTHQUAKE,1,900,0,0,0,0,0,0,0,0
1981/1/1,FLOOD,2,0,0,0,0,52,0,0,0,0
1981/2/1,EXPLOSION,4,2,16,0,0,0,0,0,0,0
1981/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1981/3/1,ACCIDENT,1,39,118,0,0,0,0,0,0,0
1981/3/1,EXPLOSION,1,0,0,0,0,0,0,0,0,0
1981/3/1,FLOOD,4,0,0,0,0,31,0,0,0,0
1981/4/1,EXPLOSION,5,0,0,0,0,0,0,0,0,0
1981/4/1,FLOOD,12,5,9,0,0,777,0,0,0,0
1981/5/1,EARTHQUAKE,2,1027,0,0,0,0,0,0,0,0
1981/5/1,EXPLOSION,6,0,0,0,0,0,0,0,0,0
1981/5/1,FLOOD,18,116,420,0,368,965,0,100,0,0
1981/5/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
1981/6/1,EARTHQUAKE,2,1100,4000,0,0,0,0,3000,0,0
1981/6/1,EXPLOSION,1,0,0,0,0,0,0,0,0,0
1981/6/1,FLOOD,3,2,0,0,9,0,0,0,0,0
1981/7/1,EARTHQUAKE,2,1308,800,0,0,0,0,30000,0,0
1981/7/1,EXPLOSION,4,0,0,0,0,0,0,0,0,0
1981/7/1,FLOOD,4,11,5,0,0,100,0,0,0,0
1981/8/1,ACCIDENT,1,3,0,0,0,0,0,0,0,0
1981/8/1,EARTHQUAKE,3,0,0,0,50,150,0,0,0,0
1981/8/1,EXPLOSION,2,0,0,0,0,0,0,0,0,0
1981/8/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1981/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1981/10/1,EXPLOSION,5,7,18,0,0,0,0,0,0,0
1981/10/1,STORM,1,200,0,0,0,0,0,0,0,0
1981/12/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1982/1/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1982/1/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1982/2/1,EARTHQUAKE,3,0,0,0,200,0,0,0,0,0
1982/2/1,FLOOD,9,13,0,0,0,198,0,0,0,5
1982/3/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1982/3/1,FLOOD,13,10,6,0,0,737,0,0,0,0
1982/4/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1982/4/1,EXPLOSION,1,0,0,0,0,0,0,0,0,0
1982/4/1,FLOOD,23,2,0,0,0,4,0,0,0,0
1982/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1982/5/1,FLOOD,16,13,0,0,0,322,0,0,0,0
1982/6/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1982/6/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1982/7/1,EARTHQUAKE,4,0,0,0,0,10,0,0,0,0
1982/7/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1982/8/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1982/8/1,EXPLOSION,3,0,5,0,0,0,0,0,0,0
1982/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1982/9/1,FLOOD,5,0,0,0,0,26,0,0,0,0
1982/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1982/10/1,FLOOD,30,30,19,0,0,2642,0,0,0,0
1982/11/1,FLOOD,11,3,0,0,0,314,0,0,0,0
1982/12/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1982/12/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1983/1/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1983/1/1,FLOOD,1,0,0,0,0,7,0,0,0,0
1983/2/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1983/3/1,EARTHQUAKE,3,30,61,0,0,0,0,7005,0,0
1983/3/1,FLOOD,5,21,15,0,0,357,0,0,0,0
1983/3/1,LANDSLIDE,1,11,24,11,0,0,0,0,0,0
1983/4/1,EARTHQUAKE,5,0,0,0,0,0,0,0,0,0
1983/4/1,FLOOD,23,6,7,0,19,32141,0,0,0,0
1983/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1983/5/1,FLOOD,30,101,68,0,10,1439,0,0,0,0
1983/6/1,FLOOD,6,0,0,0,0,0,0,0,0,0
1983/7/1,EARTHQUAKE,6,3,31,0,75,90,0,416,0,0
1983/7/1,FLOOD,3,0,0,0,0,25,0,0,0,0
1983/8/1,FLOOD,7,3,0,0,0,130,0,0,0,0
1983/10/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1983/10/1,FLOOD,1,0,0,0,0,10,0,0,0,0
1983/12/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1984/1/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1984/2/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1984/3/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1984/3/1,FLOOD,26,140,5,0,0,420,0,0,0,0
1984/4/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1984/4/1,FLOOD,8,1,2,0,0,256,0,0,0,0
1984/5/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1984/5/1,FLOOD,9,0,0,0,0,120,0,0,0,0
1984/6/1,FIRE,1,0,5,0,0,0,0,0,0,0
1984/6/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1984/8/1,EARTHQUAKE,3,0,0,0,0,100,0,0,0,0
1984/8/1,FLOOD,2,0,0,0,0,20,0,0,0,0
1984/9/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1984/9/1,FLOOD,3,0,0,0,0,201,0,0,0,0
1984/10/1,EARTHQUAKE,7,0,0,0,0,0,0,0,0,0
1984/10/1,FIRE,1,0,3,0,0,0,0,0,0,0
1984/10/1,FLOOD,1,1,0,0,0,10,0,0,0,0
1984/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1984/11/1,FLOOD,3,0,0,0,0,0,0,0,0,0
1984/12/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1984/12/1,FLOOD,10,4,0,0,0,55,0,0,0,0
1985/1/1,FLOOD,8,2,0,0,0,2776,0,0,0,0
1985/2/1,EARTHQUAKE,4,5,80,0,1500,0,0,0,0,0
1985/2/1,FIRE,3,0,0,0,2,16,0,0,0,0
1985/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/3/1,EARTHQUAKE,7,0,0,0,0,0,0,0,0,0
1985/3/1,EXPLOSION,2,0,0,0,0,0,0,0,0,0
1985/4/1,EARTHQUAKE,5,0,0,0,0,0,0,0,0,0
1985/4/1,FLOOD,14,6,19,0,0,116,0,0,0,0
1985/5/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1985/5/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/6/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1985/7/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1985/7/1,FIRE,1,0,0,0,0,0,0,0,0,0
1985/7/1,FLOOD,2,0,0,0,0,0,0,0,0,0
1985/8/1,EARTHQUAKE,6,0,2,0,0,0,0,0,0,0
1985/8/1,FIRE,2,10,2,0,0,0,0,0,0,0
1985/8/1,FLOOD,4,0,0,0,0,0,0,0,0,0
1985/9/1,EARTHQUAKE,8,0,0,0,0,4,0,0,0,0
1985/9/1,EXPLOSION,1,3,0,0,0,0,0,0,0,0
1985/9/1,FIRE,3,0,5,0,0,0,0,0,0,0
1985/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/10/1,EARTHQUAKE,7,0,2,0,0,173,0,0,0,0
1985/10/1,FIRE,11,3,3,0,3,8,0,0,0,0
1985/10/1,FLOOD,1,1,3,0,4,0,0,0,0,0
1985/11/1,EARTHQUAKE,8,0,3,0,0,0,0,0,0,0
1985/11/1,FIRE,2,0,0,0,0,4,0,0,0,0
1985/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1985/12/1,EARTHQUAKE,8,0,0,0,0,0,0,0,0,0
1985/12/1,EXPLOSION,1,2,20,0,0,0,0,0,0,0
1985/12/1,FIRE,2,0,0,0,0,0,0,0,0,0
1985/12/1,FLOOD,10,31,0,0,0,4852,0,0,0,0
1986/1/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1986/1/1,EXPLOSION,1,0,11,0,0,0,0,0,0,0
1986/1/1,FIRE,2,0,0,0,0,0,0,0,0,0
1986/2/1,EXPLOSION,1,0,0,0,0,0,0,0,0,0
1986/2/1,FIRE,5,2,0,0,0,5,0,0,0,0
1986/3/1,EARTHQUAKE,6,0,0,0,1,4,0,0,0,0
1986/3/1,FIRE,2,0,2,0,0,0,0,0,0,0
1986/3/1,FLOOD,4,0,0,0,0,10,0,0,0,0
1986/4/1,EXPLOSION,1,1,22,0,0,22,0,0,0,0
1986/4/1,FIRE,3,0,0,0,0,0,0,0,0,0
1986/4/1,FLOOD,36,31,0,0,0,48,0,0,0,0
1986/5/1,EARTHQUAKE,9,0,0,0,0,0,0,0,0,0
1986/5/1,FLOOD,45,138,150,0,0,597,0,0,0,0
1986/6/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1986/6/1,FLOOD,6,32,0,0,0,5,0,0,0,0
1986/7/1,EARTHQUAKE,4,3,14,0,200,0,0,1500,0,0
1986/7/1,EXPLOSION,1,0,0,0,0,1,0,0,0,0
1986/7/1,FIRE,1,0,0,0,0,0,0,0,0,0
1986/7/1,FLOOD,4,0,0,0,0,461,0,0,0,0
1986/8/1,EARTHQUAKE,8,0,0,0,0,0,0,0,0,0
1986/8/1,EXPLOSION,3,30,186,0,0,0,0,0,0,0
1986/8/1,FIRE,3,0,0,0,0,7,0,0,0,0
1986/8/1,FLOOD,9,5,0,0,0,26,0,0,0,0
1986/9/1,FIRE,1,2,0,0,0,0,0,0,0,0
1986/9/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1986/10/1,EARTHQUAKE,5,0,0,0,0,0,0,0,0,0
1986/10/1,FIRE,1,0,0,0,0,0,0,0,0,0
1986/10/1,FLOOD,5,0,0,0,0,100,0,0,0,0
1986/11/1,EARTHQUAKE,4,0,0,0,0,0,0,0,0,0
1986/11/1,FIRE,2,0,0,0,0,0,0,0,0,0
1986/11/1,FLOOD,6,16,6,0,0,220,0,0,0,0
1986/12/1,EARTHQUAKE,10,7,0,0,80,0,0,400,0,0
1986/12/1,EXPLOSION,3,0,2,0,0,0,0,0,0,0
1986/12/1,FIRE,3,0,0,0,4,0,0,0,0,0
1986/12/1,FLOOD,78,485,65,20,0,6624,0,0,0,0
1987/1/1,EARTHQUAKE,5,0,1,0,0,300,0,1500,0,0
1987/1/1,EXPLOSION,1,0,0,0,0,0,0,0,0,0
1987/1/1,FIRE,3,0,0,0,0,0,0,0,0,0
1987/1/1,FLOOD,4,0,0,0,0,0,0,0,0,0
1987/2/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1987/2/1,FLOOD,4,0,0,0,0,70,0,0,0,0
1987/3/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1987/3/1,FLOOD,16,7,0,0,0,28,0,0,0,0
1987/4/1,EARTHQUAKE,6,2,0,0,0,0,0,0,0,0
1987/4/1,FIRE,1,11,0,0,0,0,0,0,0,0
1987/4/1,FLOOD,34,70,31,0,0,331,0,0,0,0
1987/5/1,EARTHQUAKE,5,2,0,0,0,0,0,50,0,0
1987/5/1,FIRE,2,0,0,0,0,0,0,0,0,0
1987/5/1,FLOOD,21,25,4,0,12,418,0,0,0,0
1987/5/1,THUNDER STORM,1,2,2,0,0,0,0,0,0,0
1987/6/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1987/6/1,FIRE,1,0,0,0,0,0,0,0,0,0
1987/6/1,FLOOD,25,88,37,0,0,5020,0,0,0,0
1987/7/1,EARTHQUAKE,3,0,0,0,0,0,0,0,0,0
1987/7/1,FIRE,2,0,0,0,0,0,0,0,0,0
1987/7/1,FLOOD,51,1447,1438,0,108,1258,0,0,0,0
1987/8/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
1987/8/1,FIRE,3,0,0,0,0,1,0,0,0,0
1987/8/1,FLOOD,38,92,22,0,479,592,0,0,0,0
1987/9/1,EARTHQUAKE,6,0,0,0,0,0,0,0,0,0
