Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1992/12/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1992/12/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/1/1,CONFLICT MAN WILD FAUNA,2,0,0,0,0,0,0,15,0,0
1993/1/1,DROUGHT,4,0,0,0,0,0,0,750000,0,0
1993/1/1,FLOOD,1,0,0,0,0,0,0,293080,0,0
1993/1/1,PLAGUE,10,0,0,0,0,0,0,29163,0,0
1993/1/1,RAINS,1,0,0,0,37,22,0,5000,0,32
1993/2/1,DROUGHT,1,60,0,0,0,0,0,0,0,0
1993/2/1,FIRE,1,0,0,0,0,0,0,0,0,0
1993/2/1,RAINS,1,0,0,0,0,0,0,0,0,0
1993/3/1,PLAGUE,2,0,0,0,0,0,0,0,0,0
1993/3/1,RAINS,1,7,0,0,0,0,0,13,0,0
1993/4/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/4/1,STORM,1,0,0,0,0,0,0,0,0,0
1993/8/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1993/10/1,DROUGHT,1,0,0,0,0,0,0,0,0,0
1993/11/1,FLASH FLOOD,1,0,0,0,0,0,0,1070,0,0
1993/11/1,STORM,1,0,0,0,0,0,0,0,0,0
1993/12/1,STORM,1,0,0,0,0,0,0,0,0,0
1994/1/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1994/1/1,DROUGHT,5,4,0,0,0,0,0,6883,0,0
1994/1/1,PLAGUE,7,3,0,0,0,0,0,1750,0,0
1994/1/1,DROUGHT,1,0,0,0,0,0,0,15729,0,0
1994/1/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1994/2/1,CONFLICT MAN WILD FAUNA,2,2,0,0,0,0,9,5,0,0
1994/2/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1994/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1994/2/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
1994/2/1,PLAGUE,1,0,0,0,0,0,0,0,0,0
1994/3/1,CYCLONE,24,82,301,316,146839,22,10000,939941,0,0
1994/3/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
1994/4/1,PLAGUE,3,0,0,0,0,0,0,0,0,0
1994/6/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1994/8/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1994/10/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1994/10/1,FLASH FLOOD,2,0,0,0,0,0,0,0,0,0
1994/12/1,BIOLOGICAL,1,9,0,0,0,0,0,7118,0,0
1995/1/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
1995/1/1,DROUGHT,4,1,0,0,0,0,0,40506,0,0
1995/1/1,EPIDEMIC,1,4,0,0,0,0,0,156,0,0
1995/1/1,PLAGUE,6,0,0,0,0,0,0,0,0,0
1995/1/1,FLASH FLOOD,3,0,0,0,0,0,0,4180,0,0
1995/1/1,FLOOD,1,0,0,0,0,0,0,22000,0,0
1995/2/1,CONFLICT MAN WILD FAUNA,1,0,0,0,0,0,0,0,0,0
