Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
2006/2/1,EPIDEMIC,10,3,0,0,0,0,54,0,0,0
2006/2/1,Epizooty,11,0,0,0,0,0,0,10853,0,0
2006/3/1,Epizooty,10,0,0,0,0,0,0,3784,0,0
2006/3/1,FOWL SMALLPOX,1,1,0,0,0,0,0,12,0,0
2006/4/1,Epizooty,1,0,0,0,0,0,0,859,0,0
2006/5/1,Epizooty,4,0,0,0,0,0,0,1487,0,0
2006/6/1,DROUGHT,10,0,0,0,0,0,0,101515,0,0
2006/6/1,Epizooty,6,0,0,0,0,0,0,3150,0,0
2006/6/1,PEAT,6,0,0,0,0,0,0,0,0,0
2006/7/1,Epizooty,1,0,0,0,0,0,0,50,0,0
2006/7/1,FLOOD,1,0,0,0,16,6,415,0,0,0
2006/8/1,Epizooty,9,0,0,0,0,0,0,27215,0,0
2006/8/1,FLOOD,11,4,6,0,1002,201,3208,0,0,0
2006/9/1,Epizooty,4,0,0,0,0,0,0,1269,0,0
2006/10/1,Epizooty,8,0,0,0,0,0,0,31399,0,0
2006/11/1,Epizooty,9,0,0,0,0,0,0,3792,0,0
2006/12/1,Epizooty,3,0,0,0,0,0,0,337,0,0
2007/1/1,DROUGHT,10,0,0,0,0,0,0,135686,0,0
2007/1/1,Epizooty,1,0,0,0,0,0,0,800,0,0
2007/1/1,EPIDEMIC,22,7,0,0,0,0,82,0,0,0
2007/1/1,Epizooty,9,0,0,0,0,0,0,3869,0,0
2007/1/1,FLOOD,2,0,3,0,0,0,3,0,0,0
2007/1/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
2007/2/1,EPIDEMIC,38,3,0,0,0,0,487,0,0,0
2007/2/1,Epizooty,5,0,0,0,0,0,0,1840,0,0
2007/2/1,FIRE,2,0,0,0,277,0,646,0,0,0
2007/2/1,FLOOD,2,0,4,0,0,0,4,0,0,0
2007/3/1,EPIDEMIC,31,9,0,0,0,0,446,0,0,0
2007/3/1,Epizooty,7,0,0,0,0,0,0,1672,0,0
2007/3/1,FLOOD,2,0,1,0,0,0,1,1,0,0
2007/3/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2007/4/1,EPIDEMIC,40,8,0,0,0,0,247,0,0,0
2007/4/1,FLOOD,2,0,5,0,0,0,5,0,0,0
2007/4/1,FOREST FIRE,5,0,0,0,0,0,0,0,0,0
2007/5/1,Epizooty,3,0,0,0,0,0,0,215,0,0
2007/6/1,Epizooty,1,0,0,0,0,0,0,33,0,0
2007/7/1,EPIDEMIC,20,1,0,0,0,0,198,0,0,0
2007/7/1,Epizooty,3,0,0,0,0,0,0,196,0,0
2007/7/1,FLOOD,21,3,8,0,2024,44,26678,0,0,0
2007/7/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2007/7/1,THUNDERSTORM,1,0,0,0,0,0,0,0,0,0
2007/8/1,EPIDEMIC,13,0,0,0,0,0,48,0,0,0
2007/8/1,Epizooty,6,0,0,0,0,0,0,4896,0,0
2007/8/1,FLOOD,34,7,13,0,3556,23,21691,0,0,0
2007/9/1,EPIDEMIC,5,0,0,0,0,0,5,0,0,0
2007/9/1,Epizooty,5,0,0,0,0,0,0,1169,0,0
2007/9/1,FLOOD,4,2,2,0,67,0,711,0,0,0
2007/9/1,INTOXICATION,1,0,0,0,0,0,38,0,0,0
2007/10/1,Epizooty,16,0,0,0,0,0,0,8764,0,0
2007/10/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2007/10/1,FOWL SMALLPOX,1,30,0,0,0,0,0,700,0,0
2007/11/1,EPIDEMIC,16,3,0,0,0,0,263,0,0,0
2007/11/1,Epizooty,5,0,0,0,0,0,0,7710,0,0
2007/11/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2007/11/1,INTOXICATION,1,0,0,0,0,0,342,0,0,0
2007/12/1,Epizooty,8,0,0,0,0,0,0,1409,0,0
2007/12/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
2007/12/1,FOWL SMALLPOX,1,4,0,0,0,0,0,252,0,0
2008/1/1,DROUGHT,34,0,0,0,0,0,0,375503,0,0
2008/1/1,Epizooty,2,0,0,0,0,0,0,2450,0,0
2008/1/1,FIRE,1,0,0,0,0,0,0,6,0,0
2008/1/1,FOWL SMALLPOX,1,1,0,0,0,0,0,78,0,0
2008/1/1,EPIDEMIC,11,3,0,0,0,0,29,0,0,0
2008/1/1,Epizooty,5,0,0,0,0,0,0,263,0,0
2008/1/1,FIRE,1,0,0,0,0,0,0,0,0,0
2008/1/1,FOREST FIRE,2,0,0,0,0,0,0,0,0,0
2008/1/1,INTOXICATION,1,0,0,0,0,0,10,0,0,0
2008/2/1,EPIDEMIC,1,0,0,0,0,0,1,0,0,0
2008/2/1,Epizooty,7,0,0,0,0,0,0,1411,0,0
2008/2/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2008/3/1,EPIDEMIC,70,12,0,0,0,0,765,0,0,0
2008/3/1,Epizooty,7,0,0,0,0,0,0,1149,0,0
2008/3/1,FIRE,1,0,0,0,153,0,0,362,0,0
2008/3/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2008/4/1,EPIDEMIC,51,14,0,0,0,0,246,0,0,0
2008/4/1,FOREST FIRE,4,0,0,0,0,0,0,0,0,0
2008/5/1,EPIDEMIC,47,0,0,0,0,0,74,0,0,0
2008/5/1,Epizooty,2,0,0,0,0,0,0,510,0,0
2008/6/1,EPIDEMIC,23,1,0,0,0,0,34,0,0,0
2008/6/1,Epizooty,1,0,0,0,0,0,0,76,0,0
2008/6/1,FIRE,1,0,0,0,0,0,0,0,0,0
2008/6/1,FLOOD,2,6,0,0,0,0,0,0,0,0
2008/7/1,Epizooty,6,0,0,0,0,0,0,11620,0,0
2008/7/1,FLOOD,3,0,0,0,485,11,1540,0,0,0
2008/7/1,FOWL SMALLPOX,1,0,0,0,0,0,0,6550,0,0
2008/8/1,Epizooty,7,0,0,0,0,0,0,1637,0,0
2008/8/1,FLOOD,3,0,0,0,126,14,574,0,0,0
2008/9/1,EPIDEMIC,17,5,0,0,0,0,146,0,0,0
2008/9/1,Epizooty,8,0,0,0,0,0,0,1669,0,0
2008/9/1,FOWL SMALLPOX,1,1,0,0,0,0,0,1000,0,0
2008/10/1,Epizooty,8,0,0,0,0,0,0,30819,0,0
2008/12/1,Epizooty,1,0,0,0,0,0,0,102,0,0
2009/1/1,Epizooty,1,0,0,0,0,0,0,3000,0,0
2009/1/1,Epizooty,2,0,0,0,0,0,0,44,0,0
2009/2/1,Epizooty,11,0,0,0,0,0,0,2098,0,0
2009/3/1,Epizooty,1,0,0,0,0,0,0,170,0,0
2009/4/1,Epizooty,3,0,0,0,0,0,0,2313,0,0
2009/5/1,FLOOD,3,0,0,0,995,0,6127,0,0,0
2009/6/1,Epizooty,2,0,0,0,0,0,0,2,0,0
2009/6/1,FLOOD,6,8,3,0,140,36,935,0,0,0
2009/7/1,Epizooty,1,0,0,0,0,0,0,43,0,0
2009/7/1,FLOOD,3,0,2,0,10,3,326,0,0,0
2009/8/1,FLOOD,17,4,10,0,853,17,3959,0,0,0
2009/9/1,FLOOD,54,17,12,2,1146,38,14301,0,0,0
2009/10/1,FLOOD,4,0,0,0,131,94,972,0,0,0
2010/1/1,DROUGHT,19,0,0,0,0,0,0,364376,0,0
2010/1/1,DROUGHT,10,0,0,0,0,0,0,162148,0,0
2010/2/1,FOREST FIRE,1,0,0,0,0,0,0,0,0,0
2010/3/1,DROUGHT,1,0,0,0,0,0,0,6025,0,0
2010/3/1,FOREST FIRE,3,0,0,0,0,0,0,0,0,0
2010/4/1,FLOOD,2,1,4,0,12,0,4,0,0,0
2010/4/1,FOREST FIRE,6,0,0,0,0,0,0,0,0,0
