Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1992/9/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1993/1/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
1993/2/1,SNOWSTORM,7,0,15,0,0,0,0,0,0,0
1993/3/1,FLOOD,1,0,0,0,0,0,0,0,0,5
1993/3/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,30
1993/8/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1993/10/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
1994/1/1,FLOOD,1,9,0,0,0,0,0,0,0,300
1994/3/1,FLOOD,2,0,0,0,0,0,0,0,0,300
1994/11/1,FLASH FLOOD,9,35,0,10,0,0,0,0,0,0
1994/11/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1995/11/1,EARTHQUAKE,2,1,19,1,0,91,0,0,0,0
1996/11/1,FLASH FLOOD,1,1,0,0,0,0,0,0,0,0
1997/2/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1997/10/1,FLOOD,6,0,0,0,0,0,0,0,0,0
1999/6/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
1999/7/1,DROUGHT,45,0,0,0,0,0,0,180000,0,0
1999/7/1,FLOOD,1,0,0,0,0,0,0,0,0,0
1999/10/1,DROUGHT,3,0,0,0,0,0,0,0,0,0
1999/10/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
2000/1/1,COLD WAVE,1,2,0,0,0,0,0,30,0,0
2000/1/1,SNOWSTORM,16,7,0,0,0,0,0,180,0,0
2000/4/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2000/7/1,HEAT WAVE,10,0,0,0,0,0,0,32,0,0
2000/8/1,DROUGHT,44,0,0,0,0,0,0,150000,0,0
2000/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2000/10/1,HEAT WAVE,1,0,0,0,0,0,0,0,0,0
2000/10/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
2000/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2001/4/1,FLASH FLOOD,1,3,0,0,0,0,0,0,0,0
2001/12/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2002/11/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2003/1/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
2003/1/1,FLASH FLOOD,1,4,19,0,0,0,0,0,0,0
2003/1/1,FLOOD,3,0,0,0,0,0,0,0,0,0
2003/2/1,SNOWSTORM,11,7,983,0,0,18,0,0,0,25
2003/3/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2003/3/1,RAINS,1,0,20,0,0,1,0,0,0,15
2004/1/1,FROST,1,0,0,0,0,0,0,0,0,0
2004/2/1,EARTHQUAKE,1,0,1,0,0,0,0,0,0,0
2004/2/1,FROST,3,0,0,0,0,0,0,0,0,0
2004/3/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2005/1/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2005/1/1,FLOOD,2,0,0,0,0,0,0,0,0,80
2005/1/1,SNOWSTORM,3,0,0,0,0,0,0,0,0,16
2005/4/1,FLOOD,1,0,0,0,0,0,0,0,0,4
2005/4/1,RAINS,1,0,0,0,0,0,0,0,0,1
2005/10/1,EARTHQUAKE,1,0,0,0,0,0,0,0,0,0
2005/12/1,FLASH FLOOD,1,0,0,0,0,0,0,0,0,0
2006/2/1,FLASH FLOOD,3,0,0,0,3,0,0,0,0,13
2006/2/1,FLOOD,3,0,0,0,0,0,0,0,0,0
2006/2/1,RAINS,5,0,20,0,2,56,0,0,0,103
2006/8/1,EPIDEMIC,3,0,0,0,0,0,0,0,0,0
2006/9/1,EARTHQUAKE,2,0,0,0,0,0,0,0,0,0
2006/12/1,FLOOD,1,0,0,0,0,0,0,0,0,100
2006/12/1,RAINS,1,0,4,0,0,0,0,0,0,0
2006/12/1,SNOWSTORM,3,0,0,0,0,0,0,0,0,76
2007/2/1,FLASH FLOOD,1,0,0,0,0,25,0,0,0,0
2007/2/1,FLOOD,1,1,184,0,0,0,0,0,0,0
2007/4/1,FLOOD,1,0,0,0,0,0,0,0,0,0
2007/4/1,LANDSLIDE,1,2,3,0,0,0,0,0,0,0
2007/5/1,FLOOD,1,2,0,1,0,0,0,0,0,0
2007/5/1,SNOWSTORM,1,0,0,0,0,0,0,0,0,0
