Formatted_Year_Month,Event,DataCards,Deaths,Injured,Missing,Houses.Destroyed,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Evacuated
1999/3/1,FOREST FIRE,2,0,0,0,302,0,3436,0,0,0
1999/6/1,STORM,3,0,0,0,0,16,69,0,0,0
1999/7/1,FLOOD,1,0,0,0,0,1080,5128,0,0,0
1999/7/1,STORM,10,0,0,0,40,56,1141,0,0,0
1999/8/1,STORM,13,0,0,0,0,579,3040,0,0,0
1999/9/1,URBAN FIRE,2,0,0,0,28,0,114,0,0,0
1999/10/1,FLOOD,2,0,0,0,0,486,2402,0,0,0
1999/10/1,RIVER FLOOD,2,0,0,0,952,0,3624,0,0,0
1999/12/1,FIRE,1,0,0,0,0,8,46,0,0,0
2000/1/1,FIRE,1,0,0,0,8,0,0,0,0,0
2000/2/1,FIRE,3,0,0,0,105,0,0,0,0,0
2000/3/1,FIRE,3,0,0,0,255,0,1386,0,0,0
2000/3/1,INDUSTRIAL FIRE,2,0,0,0,12,0,0,0,0,0
2000/4/1,FIRE,2,0,0,0,329,0,0,0,0,0
2000/7/1,FIRE,2,0,0,0,2,0,0,0,0,0
2000/7/1,STORM,4,0,0,0,0,96,450,0,0,0
2000/8/1,FIRE,1,0,0,0,144,0,0,0,0,0
2000/8/1,STORM,2,0,0,0,0,52,204,0,0,0
2000/12/1,FIRE,1,0,0,0,0,5,24,0,0,0
2001/1/1,FIRE,1,0,0,0,0,0,0,0,0,0
2001/2/1,FIRE,4,0,0,0,0,7,22,0,0,0
2001/3/1,FIRE,1,0,0,0,0,1,6,0,0,0
2001/3/1,URBAN FIRE,2,0,0,0,0,0,0,0,0,0
2001/4/1,FIRE,12,1,0,0,706,512,7791,0,0,0
2001/5/1,FIRE,3,1,0,0,24,9,99,0,0,0
2001/6/1,FLOOD,6,0,0,0,0,1224,3040,0,0,0
2001/8/1,FLOOD,2,0,0,0,0,912,5534,0,0,0
2001/10/1,FIRE,1,0,0,0,0,9,0,0,0,0
2001/12/1,FIRE,4,1,2,0,1631,0,14253,0,0,0
2002/1/1,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
2002/1/1,FIRE,5,0,0,0,326,6,1985,0,0,0
2002/2/1,FIRE,5,0,0,0,889,17,4892,0,0,0
2002/3/1,FIRE,12,0,0,0,949,52,3417,0,0,0
2002/4/1,FIRE,5,0,0,0,0,32,133,0,0,0
2002/5/1,FIRE,3,0,0,0,31,69,291,0,0,0
2002/5/1,FLOOD,2,0,0,0,0,796,4940,0,0,0
2002/6/1,FIRE,1,0,0,0,0,3,12,0,0,0
2002/8/1,FLOOD,4,0,0,0,0,1658,9372,0,0,0
2002/9/1,FLOOD,3,0,0,0,0,312,1604,0,0,0
2002/9/1,LANDSLIDE,1,0,0,0,0,2,9,0,0,0
2002/10/1,FIRE,1,0,0,0,0,2,10,0,0,0
2002/11/1,URBAN FIRE,2,0,0,0,0,0,0,0,0,0
2002/12/1,FIRE,6,0,0,0,18,6,172,0,0,0
2003/1/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2003/2/1,FIRE,3,0,0,0,108,6,470,0,0,0
2003/3/1,FIRE,2,0,0,0,230,0,641,0,0,0
2003/4/1,FIRE,2,0,0,0,0,84,42,0,0,0
2003/5/1,CYCLONE,2,0,0,0,178,0,706,0,0,0
2003/5/1,FIRE,1,0,0,0,0,58,204,0,0,0
2003/5/1,RIVER FLOOD,2,0,0,0,178,0,706,0,0,0
2003/5/1,STORM,5,0,0,0,0,266,683,0,0,0
2003/5/1,THUNDER LIGHTING STROKE,1,0,0,0,0,0,0,0,0,0
2003/6/1,FIRE,4,0,0,0,0,73,262,0,0,0
2003/10/1,FIRE,1,11,0,0,24,0,104,0,0,0
2003/11/1,FIRE,2,0,0,0,0,248,1294,0,0,0
2004/1/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2004/1/1,FIRE,8,20,14,0,378,47,1394,0,0,0
2004/1/1,STORM,3,0,0,0,0,57,355,0,0,0
2004/2/1,FIRE,14,1,0,0,207,66,1337,0,0,0
2004/3/1,FIRE,15,0,0,0,562,43,2596,0,0,0
2004/4/1,FIRE,5,0,0,0,16,159,828,0,0,0
2004/5/1,FIRE,3,0,0,0,51,0,285,0,0,0
2004/5/1,STORM,2,0,0,0,0,40,68,0,0,0
2004/6/1,CYCLONE,2,0,0,0,60,0,288,0,0,0
2004/7/1,FIRE,1,0,0,0,0,24,83,0,0,0
2004/7/1,FLOOD,2,0,0,0,0,100,464,0,0,0
2004/7/1,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
2004/8/1,CYCLONE,2,0,0,0,26,0,156,0,0,0
2004/8/1,FIRE,1,1,19,0,0,0,0,0,0,0
2004/8/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2004/9/1,FIRE,1,0,0,0,0,9,36,0,0,0
2004/9/1,FLOOD,2,0,0,0,0,536,3636,0,0,0
2004/11/1,FIRE,9,0,0,0,34,24,209,0,0,0
2004/12/1,CYCLONE,2,2,0,0,0,0,0,0,0,0
2004/12/1,FIRE,4,0,0,0,24,85,669,0,0,0
2005/1/1,FLOOD,2,0,0,0,0,0,0,0,0,0
2005/1/1,FIRE,84,6,0,0,124,21,360,0,0,0
2005/2/1,FIRE,130,6,8,0,703,391,4974,0,0,0
2005/2/1,FOREST FIRE,2,0,0,0,12,0,62,0,0,0
2005/3/1,FIRE,157,0,6,0,1432,396,7079,0,0,0
2005/3/1,FOREST FIRE,2,0,0,0,164,0,650,0,0,0
2005/4/1,FIRE,105,0,2,0,540,44,2829,0,0,0
2005/4/1,FOREST FIRE,2,0,0,0,46,0,236,0,0,0
2005/4/1,STORM,2,0,0,0,0,0,0,0,0,0
2005/4/1,URBAN FIRE,2,0,0,0,4,0,40,0,0,0
2005/5/1,FIRE,50,11,157,0,689,40,1428,0,0,0
2005/5/1,STORM,4,0,0,0,0,122,122,0,0,0
2005/6/1,FIRE,18,0,0,0,197,67,1260,0,0,0
2005/7/1,FIRE,17,0,0,0,94,0,28,0,0,0
2005/7/1,FLOOD,6,0,0,0,0,1148,0,0,0,5796
2005/8/1,FIRE,29,0,0,0,33,10,142,0,0,0
2005/8/1,FLOOD,1,0,0,0,0,74,0,0,0,0
2005/8/1,STORM,3,0,0,0,0,89,435,0,0,0
2005/9/1,FIRE,17,0,0,0,4,0,86,0,0,0
2005/10/1,FIRE,24,0,0,0,7,0,31,0,0,0
2005/11/1,FIRE,28,0,7,0,3154,0,13585,0,0,0
2005/11/1,INDUSTRIAL FIRE,1,0,0,0,0,0,0,0,0,0
2005/12/1,FIRE,31,0,0,0,457,19,759,0,0,0
2006/1/1,RIVER FLOOD,2,0,0,0,0,0,0,0,0,0
2006/1/1,STORM,2,0,0,0,0,0,0,0,0,0
2006/1/1,FIRE,45,0,6,1,466,178,4353,0,0,0
2006/2/1,FIRE,64,0,0,0,299,46,1879,0,0,0
2006/3/1,FIRE,87,0,7,0,612,106,3222,0,0,0
2006/3/1,FOREST FIRE,2,0,0,0,8,0,0,0,0,0
2006/3/1,INDUSTRIAL FIRE,2,0,0,0,0,0,0,0,0,0
2006/4/1,FIRE,59,0,0,0,136,34,761,0,0,0
2006/4/1,STORM,4,0,0,0,0,0,0,0,0,8622
2006/5/1,FIRE,34,0,0,0,75,26,347,0,0,0
2006/5/1,STORM,2,0,0,0,0,0,0,0,0,0
2006/6/1,FIRE,28,0,0,0,13,0,100,0,0,0
2006/6/1,FLOOD,2,0,0,0,12,0,58,0,0,0
2006/6/1,URBAN FIRE,2,0,0,0,0,0,0,0,0,0
2006/7/1,FIRE,25,0,0,0,25,0,45,0,0,0
2006/7/1,FLOOD,7,0,0,0,0,638,3274,0,0,0
2006/7/1,STORM,3,0,0,0,0,41,171,0,0,0
2006/8/1,FIRE,23,0,0,0,1852,0,93,0,0,0
2006/8/1,FLOOD,5,0,0,0,0,1035,5416,0,0,0
2006/8/1,STORM,8,0,0,0,0,20,109,0,0,0
2006/9/1,FIRE,23,0,0,0,3,102,339,0,0,0
2006/9/1,FLOOD,3,0,0,0,1540,200,12432,0,0,0
2006/10/1,FIRE,29,0,0,0,16,0,131,0,0,0
2006/10/1,FLOOD,8,0,0,0,694,104,4784,0,0,0
2006/11/1,FIRE,36,0,0,0,79,7,1310,0,0,0
